Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1634245200.0 136.895 NA 136 584 0 NA NA NA NA 1577 1684 0 NA NA NA NA 1309 39648 708 NA NA NA NA 839 17142 975 NA NA NA
1634245200.0 136.898 NA 139 595 0 NA NA NA NA 1577 1761 0 NA NA NA NA 1156 39545 592 NA NA NA NA 669 12127 923 NA NA NA
1634245200.0 1360.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1810 NA NA NA NA NA NA 985 NA NA NA NA NA NA
1634245200.0 1361.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1095 NA NA NA NA NA NA 976 NA NA NA NA NA NA
1634245200.0 1361.17 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1055 NA NA NA NA NA NA 1001 NA NA NA NA NA NA
1634245200.0 1361.18 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1039 NA NA NA NA NA NA 982 NA NA NA NA NA NA
1634245200.0 1362.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1031 NA NA NA NA NA NA 949 NA NA NA NA NA NA
1634245200.0 1362.17 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1040 NA NA NA NA NA NA 961 NA NA NA NA NA NA
1634245200.0 1362.18 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1053 NA NA NA NA NA NA 973 NA NA NA NA NA NA
1634245200.0 1363.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1025 NA NA NA NA NA NA 936 NA NA NA NA NA NA
1634245200.0 1363.17 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1045 NA NA NA NA NA NA 984 NA NA NA NA NA NA
1634245200.0 1363.18 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 1048 NA NA NA NA NA NA 995 NA NA NA NA NA NA
1634245200.0 137.8 NA 131 659 NA 135 635 0 NA 1577 1838 NA 1577 1761 0 NA 1014 38278 NA 1121 33543 696 NA 650 11762 NA 686 10501 1076
1634245200.0 140.56 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1634245200.0 148.0 76 205 445 0 NA NA NA 1109 966 1471 0 NA NA NA 1548 1103 2285 689 NA NA NA 1505 1084 2106 1068 NA NA NA
1634245200.0 2017.8 714 NA NA NA NA NA NA 1456 NA NA NA NA NA NA 1191 NA NA NA NA NA NA 866 NA NA NA NA NA NA
1634245200.0 2018.2 881 0 128 NA NA NA NA 1970 0 1071 NA NA NA NA 1793 391 675 NA NA NA NA 1282 618 776 NA NA NA NA
1634245200.0 2018.8 731 NA NA NA NA NA NA 1459 NA NA NA NA NA NA 1255 NA NA NA NA NA NA 1124 NA NA NA NA NA NA
1634245200.0 23434.99 NA NA NA 1080 0 NA NA NA NA NA 2669 0 NA NA NA NA NA 47071 860 NA NA NA NA NA 15056 1296 NA NA
1634245200.0 23434.9921 NA NA NA 673 225 250 NA NA NA NA 1921 1073 1208 NA NA NA NA 19016 2253 1030 NA NA NA NA 5734 1717 1257 NA
1634245200.0 250200.0 NA NA 443 0 NA NA NA NA NA 1457 0 NA NA NA NA NA 4519 614 NA NA NA NA NA 2612 897 NA NA NA
1634245200.0 250200.17 NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA
1634245200.0 250200.18 NA NA 614 0 NA NA NA NA NA 1689 0 NA NA NA NA NA 5756 861 NA NA NA NA NA 2934 1198 NA NA NA
1634245200.0 250202.0 NA NA 445 0 NA NA NA NA NA 1432 0 NA NA NA NA NA 4457 658 NA NA NA NA NA 2569 1047 NA NA NA
1634245200.0 250202.1 NA NA NA 439 0 NA NA NA NA NA 1458 0 NA NA NA NA NA 4506 620 NA NA NA NA NA 2559 800 NA NA
1634245200.0 250202.17 NA NA 564 0 NA NA NA NA NA 1599 0 NA NA NA NA NA 4413 836 NA NA NA NA NA 2591 1171 NA NA NA
1634245200.0 250202.171 NA 345 NA 579 0 NA NA NA 2015 NA 1702 0 NA NA NA 6106 NA 4429 769 NA NA NA 2848 NA 2744 1004 NA NA
1634245200.0 250202.172 NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA
1634245200.0 250202.18 NA 501 617 0 NA NA NA NA 2235 1689 0 NA NA NA NA 53768 6890 755 NA NA NA NA 20606 3337 1086 NA NA NA
1634245200.0 250202.181 NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA
1634245200.0 250202.2 NA NA 435 0 NA NA NA NA NA 1368 0 NA NA NA NA NA 3801 612 NA NA NA NA NA 3660 941 NA NA NA
1634245200.0 250202.3 NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA
1634245200.0 250202.4 NA 367 434 0 NA NA NA NA 1990 1432 0 NA NA NA NA 42452 3808 628 NA NA NA NA 14547 2555 956 NA NA NA
1634245200.0 250202.5 NA NA NA 448 0 NA NA NA NA NA 1432 0 NA NA NA NA NA 4066 625 NA NA NA NA NA 2685 854 NA NA
1634245200.0 250203.0 NA NA 437 0 NA NA NA NA NA 1457 0 NA NA NA NA NA 4307 614 NA NA NA NA NA 2629 897 NA NA NA
1634245200.0 250203.17 NA NA 572 0 NA NA NA NA NA 1689 0 NA NA NA NA NA 4614 760 NA NA NA NA NA 2798 1044 NA NA NA
